benchmark	vcnf_status	vcnf_time	vampire_status	vampire_time	cvc4_status	cvc4_time	z3_status	z3_time
UF_grasshopper_instantiated_rec_copy_loop_check_heap_access_44_4.smt2	Unsatisfiable	0.0320	Unsatisfiable	0.033126	unsat	0.0569	0.0569	unsat	0.0445181
UF_grasshopper_instantiated_rec_copy_loop_postcondition_of_rec_copy_loop_38_4.smt2	Unsatisfiable	0.0598	Unsatisfiable	0.077818	unsat	0.0771	0.0771	unsat	0.0529311
UF_grasshopper_instantiated_rec_copy_loop_postcondition_of_rec_copy_loop_45_4.smt2	Unsatisfiable	3.4323	Unsatisfiable	46.8877	unsat	47.1086	47.1086	unsat	1.19705
UF_grasshopper_instantiated_rec_copy_loop_postcondition_of_rec_copy_loop_46_3.smt2	Unsatisfiable	0.0153	Unsatisfiable	0.018759	unsat	0.0095	0.0095	unsat	0.0349551
UF_grasshopper_instantiated_rec_copy_loop_precondition_of_rec_copy_loop_45_11.smt2	Unsatisfiable	0.1617	Unsatisfiable	2.06567	unsat	0.1590	0.1590	unsat	0.0645319
UF_grasshopper_instantiated_rec_copy_loop_precondition_of_rec_reverse_38_11.smt2	Unsatisfiable	0.0227	Unsatisfiable	0.0198741	unsat	0.0178	0.0178	unsat	0.040185
UF_grasshopper_instantiated_rec_copy_postcondition_of_rec_copy_53_2.smt2	Unsatisfiable	0.0531	Unsatisfiable	0.0541981	unsat	0.1065	0.1065	unsat	0.0530321
UF_grasshopper_instantiated_rec_copy_postcondition_of_rec_copy_54_1.smt2	Unsatisfiable	0.0178	Unsatisfiable	0.0159061	unsat	0.0095	0.0095	unsat	0.0348531
UF_grasshopper_instantiated_rec_copy_precondition_of_rec_copy_loop_53_9.smt2	Unsatisfiable	0.0216	Unsatisfiable	0.022332	unsat	0.0200	0.0200	unsat	0.040856
UF_grasshopper_instantiated_rec_dispose_check_free_16_4.smt2	Unsatisfiable	0.0217	Unsatisfiable	0.021812	unsat	0.0184	0.0184	unsat	0.039705
UF_grasshopper_instantiated_rec_dispose_check_heap_access_15_4.smt2	Unsatisfiable	0.0218	Unsatisfiable	0.023609	unsat	0.0173	0.0173	unsat	0.0395181
UF_grasshopper_instantiated_rec_dispose_postcondition_of_rec_dispose_17_19.smt2	Unsatisfiable	0.1392	Unsatisfiable	0.0808061	unsat	0.0837	0.0837	unsat	0.0472141
UF_grasshopper_instantiated_rec_dispose_precondition_of_rec_dispose_17_4.smt2	Unsatisfiable	0.0297	Unsatisfiable	0.0297699	unsat	0.0221	0.0221	unsat	0.040768
UF_grasshopper_instantiated_rec_filter_check_free_23_4.smt2	Unsatisfiable	0.0243	Unsatisfiable	0.0211931	unsat	0.0191	0.0191	unsat	0.0400409
UF_grasshopper_instantiated_rec_filter_check_heap_access_17_4.smt2	Unsatisfiable	0.0201	Unsatisfiable	0.0203689	unsat	0.0173	0.0173	unsat	0.0396469
UF_grasshopper_instantiated_rec_filter_check_heap_access_19_4.smt2	Unsatisfiable	0.0685	Unsatisfiable	0.0670029	unsat	0.0732	0.0732	unsat	0.064753
UF_grasshopper_instantiated_rec_filter_check_heap_access_22_4.smt2	Unsatisfiable	0.0230	Unsatisfiable	0.0200771	unsat	0.0172	0.0172	unsat	0.0395991
UF_grasshopper_instantiated_rec_filter_postcondition_of_rec_filter_15_17.smt2	Unsatisfiable	0.0209	Unsatisfiable	0.021117	unsat	0.0198	0.0198	unsat	0.040893
UF_grasshopper_instantiated_rec_filter_postcondition_of_rec_filter_20_4.smt2	Unsatisfiable	0.4080	Unsatisfiable	1.30863	unsat	0.4790	0.4790	unsat	0.243842
UF_grasshopper_instantiated_rec_filter_postcondition_of_rec_filter_24_4.smt2	Unsatisfiable	0.1570	Unsatisfiable	0.185055	unsat	0.3257	0.3257	unsat	0.080181
